Date,Title,Artist,Weeks_On_Chart,Last_Week_Rank
2012-05-12,Somebody That I Used To Know,Gotye Featuring Kimbra,17,
2012-05-05,Somebody That I Used To Know,Gotye Featuring Kimbra,16,
2012-04-28,Somebody That I Used To Know,Gotye Featuring Kimbra,15,2
2012-04-21,We Are Young,fun. Featuring Janelle Monae,16,
2012-04-14,We Are Young,fun. Featuring Janelle Monae,15,
2012-04-07,We Are Young,fun. Featuring Janelle Monae,14,
2012-03-31,We Are Young,fun. Featuring Janelle Monae,13,
2012-03-24,We Are Young,fun. Featuring Janelle Monae,12,
2012-03-17,We Are Young,fun. Featuring Janelle Monae,11,3
2012-03-10,Stronger (What Doesn't Kill You),Kelly Clarkson,10,4
2012-03-03,Part Of Me,Katy Perry,1,
2012-02-25,Stronger (What Doesn't Kill You),Kelly Clarkson,8,
2012-02-18,Stronger (What Doesn't Kill You),Kelly Clarkson,7,2
2012-02-11,Set Fire To The Rain,Adele,22,
2012-02-04,Set Fire To The Rain,Adele,21,2
2012-01-28,We Found Love,Rihanna Featuring Calvin Harris,17,
2012-01-21,We Found Love,Rihanna Featuring Calvin Harris,16,2
2012-01-14,Sexy And I Know It,LMFAO,18,
