Date,Title,Artist,Weeks_On_Chart,Last_Week_Rank
2008-05-24,Take A Bow,Rihanna,5,53
2008-05-17,Bleeding Love,Leona Lewis,12,
2008-05-10,Bleeding Love,Leona Lewis,11,2
2008-05-03,Lollipop,Lil Wayne Featuring Static Major,6,2
2008-04-26,Bleeding Love,Leona Lewis,9,2
2008-04-19,Touch My Body,Mariah Carey,8,
2008-04-12,Touch My Body,Mariah Carey,7,15
2008-04-05,Bleeding Love,Leona Lewis,6,8
2008-03-29,Love In This Club,Usher Featuring Young Jeezy,5,
2008-03-22,Love In This Club,Usher Featuring Young Jeezy,4,
2008-03-15,Love In This Club,Usher Featuring Young Jeezy,3,51
2008-03-08,Low,Flo Rida Featuring T-Pain,18,
2008-03-01,Low,Flo Rida Featuring T-Pain,17,
2008-02-23,Low,Flo Rida Featuring T-Pain,16,
2008-02-16,Low,Flo Rida Featuring T-Pain,15,
2008-02-09,Low,Flo Rida Featuring T-Pain,14,
2008-02-02,Low,Flo Rida Featuring T-Pain,13,
2008-01-26,Low,Flo Rida Featuring T-Pain,12,
2008-01-19,Low,Flo Rida Featuring T-Pain,11,
2008-01-12,Low,Flo Rida Featuring T-Pain,10,
2008-01-05,Low,Flo Rida Featuring T-Pain,9,2
2007-12-29,No One,Alicia Keys,15,
